tweet,clean_tweet,Text,Class
โฆษณาขายของในจีน(จากภาษาที่พูดassumeว่าจีน) พล๊อตเริ่มจากใช้อุปกรณ์ในวิธีโง่ๆ แล้วก็โยนทิ้ง อยู่ดีๆก็จะมีอีกคนเดินเอาของที่จะขายมาเปิดมาโม้ใช้ให้ดูนิดหน่อยว่ากูเจ๋ง เห็นเยอะมากงงกูทำไมไม่มีAdsดีๆโผล่มาบ้าง อยากล้างตา,โฆษณาขายของในจีน(จากภาษาที่พูดว่าจีน) พล๊อตเริ่มจากใช้อุปกรณ์ในวิธีโง่ๆ แล้วก็โยนทิ้ง อยู่ดีๆก็จะมีอีกคนเดินเอาของที่จะขายมาเปิดมาโม้ใช้ให้ดูนิดหน่อยว่ากูเจ๋ง เห็นเยอะมากงงกูทำไมไม่มีดีๆโผล่มาบ้าง อยากล้างตา,โฆษณาขายของในจีนจากภาษาที่พูดว่าจีนพล๊อตเริ่มจากใช้อุปกรณ์ในวิธีโง่ๆแล้วก็โยนทิ้งอยู่ดีๆก็จะมีอีกคนเดินเอาของที่จะขายมาเปิดมาโม้ใช้ให้ดูนิดหน่อยว่ากูเจ๋งเห็นเยอะมากงงกูทำไมไม่มีดีๆโผล่มาบ้างอยากล้างตา,none
กูคือทำเสร็จแล้ว นั่งโง่ๆรอพี่มาสั่งงาน 😂,กูคือทำเสร็จแล้ว นั่งโง่ๆรอพี่มาสั่งงาน 😂,กูคือทำเสร็จแล้วนั่งโง่ๆรอพี่มาสั่งงาน,none
ครึ่งนึงของเพื่อนในไอจีกูอยู่ana anan พัทยาตอนนี้,ครึ่งนึงของเพื่อนในไอจีกูอยู่  พัทยาตอนนี้,ครึ่งนึงของเพื่อนในไอจีกูอยู่พัทยาตอนนี้,none
แล้วด้วยความคนโง่ ก้อนแรกบ้งๆ เลยต้องทำ2ก้อน ตู้แช่แม่งร้องขอชีวิตแล้ว,แล้วด้วยความคนโง่ ก้อนแรกบ้งๆ เลยต้องทำ2ก้อน ตู้แช่แม่งร้องขอชีวิตแล้ว,แล้วด้วยความคนโง่ก้อนแรกบ้งๆเลยต้องทำก้อนตู้แช่แม่งร้องขอชีวิตแล้ว,bully
รอบนี้ง่ายจนงง 🥹 โดยเฉพาะ none2-3-none มันทำมาทำไม มีมอนโง่อยู่สองตัว https://t.co/AM9JGk5bQnone,รอบนี้ง่ายจนงง 🥹 โดยเฉพาะ 2-3- มันทำมาทำไม มีมอนโง่อยู่สองตัว ://./95,รอบนี้ง่ายจนงงโดยเฉพาะมันทำมาทำไมมีมอนโง่อยู่สองตัว,bully
พ่อกูเค้าเป็นควยไร ด่าลูกโง่อยู่ได้,พ่อกูเค้าเป็นควยไร ด่าลูกโง่อยู่ได้,พ่อกูเค้าเป็นควยไรด่าลูกโง่อยู่ได้,bully
แกล้งโง่เงียบๆ ได้เห็นคนโง่เพียบ..มึงเชื่อกู!! 😁🤔 #แคปชั่นเด็ด #แคปชั่นเสี่ยว #แคปชั่นกวนๆ #แคปชั่นความรู้สึก #แคปชั่นเศร้า #คําคมชีวิต #คําคมความรู้สึก #คําคมโดนๆ,แกล้งโง่เงียบๆ ได้เห็นคนโง่เพียบ..มึงเชื่อกู!! 😁🤔 #แคปชั่นเด็ด #แคปชั่นเสี่ยว #แคปชั่นกวนๆ #แคปชั่นความรู้สึก #แคปชั่นเศร้า #คําคมชีวิต #คําคมความรู้สึก #คําคมโดนๆ,แกล้งโง่เงียบๆได้เห็นคนโง่เพียบมึงเชื่อกูแคปชั่นเด็ดแคปชั่นเสี่ยวแคปชั่นกวนๆแคปชั่นความรู้สึกแคปชั่นเศร้าคําคมชีวิตคําคมความรู้สึกคําคมโดนๆ,bully
@Bream7532none575 มาแสดงความโง่ให้โลกเห็นจริงๆ,@7532575 มาแสดงความโง่ให้โลกเห็นจริงๆ,มาแสดงความโง่ให้โลกเห็นจริงๆ,bully
นักกฎหมาย?? แกนนำดี ฉลาด คนตามก็ได้สิทธิ์ฉลาดตามๆกันไป หุหุ #ผู้ว่ากทม #ชัชชาติ https://t.co/GT8qSjsJ5w,นักกฎหมาย?? แกนนำดี ฉลาด คนตามก็ได้สิทธิ์ฉลาดตามๆกันไป หุหุ #ผู้ว่ากทม #ชัชชาติ ://./85,นักกฎหมายแกนนำดีฉลาดคนตามก็ได้สิทธิ์ฉลาดตามๆกันไปหุหุผู้ว่ากทมชัชชาติ,none
@PouYingluck แล้วป้าหนีคดีทำไมคะ,@ แล้วป้าหนีคดีทำไมคะ,แล้วป้าหนีคดีทำไมคะ,none
ตอนยุมหาลัยเราสามารถนั่งรถไปไหนมาไหนค่ารถ4bullybully แบบสบายๆ เดินซื้อเสื้อโง่ๆ89bully เข้าคอร์สเลอเซอร์2หมื่น จ่ายค่าทำหน้า2bullybullybullyทุกอาทิตย์,ตอนยุมหาลัยเราสามารถนั่งรถไปไหนมาไหนค่ารถ4 แบบสบายๆ เดินซื้อเสื้อโง่ๆ89 เข้าคอร์สเลอเซอร์2หมื่น จ่ายค่าทำหน้า2ทุกอาทิตย์,ตอนยุมหาลัยเราสามารถนั่งรถไปไหนมาไหนค่ารถแบบสบายๆเดินซื้อเสื้อโง่ๆเข้าคอร์สเลอเซอร์หมื่นจ่ายค่าทำหน้าทุกอาทิตย์,none
มีเพื่อนโง่นี่มันเหนื่อยนะมึง,มีเพื่อนโง่นี่มันเหนื่อยนะมึง,มีเพื่อนโง่นี่มันเหนื่อยนะมึง,bully
นี่แค่เปลี่ยน #ผู้ว่ากทม65 นะ ถ้าเปลี่ยนนายกคนใหม่ ที่ไม่โง่เหมือนตอนนี้ ประเทศจะคึกคักขนาดไหนว่ะนิ,นี่แค่เปลี่ยน #ผู้ว่ากทม65 นะ ถ้าเปลี่ยนนายกคนใหม่ ที่ไม่โง่เหมือนตอนนี้ ประเทศจะคึกคักขนาดไหนว่ะนิ,นี่แค่เปลี่ยนผู้ว่ากทมนะถ้าเปลี่ยนนายกคนใหม่ที่ไม่โง่เหมือนตอนนี้ประเทศจะคึกคักขนาดไหนว่ะนิ,bully
ตอนเด็กแทบไม่เคยดูหรือเล่นบาบี้เลย ตอนนั้นรู้สึกว่าเป็นของเล่นของคนมีตังอะ แล้วพ่อกูซื้อของเล่นให้คือ รถบังคับ ให้ดูเกราะดูปืนงี้ ตุ๊กตาโง่ๆในบ้านได้มาจากงานวันเกิดที่คนให้เป็นของขวัญ บาบี้เป็นอะไรที่อยากเล่นแต่ไม่ได้เล่น อาศัยไปตอดเล่นของบ้านข้างๆ แบบนั่งดุเขาเล่น น่างสารมาก,ตอนเด็กแทบไม่เคยดูหรือเล่นบาบี้เลย ตอนนั้นรู้สึกว่าเป็นของเล่นของคนมีตังอะ แล้วพ่อกูซื้อของเล่นให้คือ รถบังคับ ให้ดูเกราะดูปืนงี้ ตุ๊กตาโง่ๆในบ้านได้มาจากงานวันเกิดที่คนให้เป็นของขวัญ บาบี้เป็นอะไรที่อยากเล่นแต่ไม่ได้เล่น อาศัยไปตอดเล่นของบ้านข้างๆ แบบนั่งดุเขาเล่น น่างสารมาก,ตอนเด็กแทบไม่เคยดูหรือเล่นบาบี้เลยตอนนั้นรู้สึกว่าเป็นของเล่นของคนมีตังอะแล้วพ่อกูซื้อของเล่นให้คือรถบังคับให้ดูเกราะดูปืนงี้ตุ๊กตาโง่ๆในบ้านได้มาจากงานวันเกิดที่คนให้เป็นของขวัญบาบี้เป็นอะไรที่อยากเล่นแต่ไม่ได้เล่นอาศัยไปตอดเล่นของบ้านข้างๆแบบนั่งดุเขาเล่นน่างสารมาก,none
เจอแต่ทีมโง่ๆ,เจอแต่ทีมโง่ๆ,เจอแต่ทีมโง่ๆ,bully
เวลาลงสตอรี่ดีๆตั้งใจลงมาก คนดู5bullyกว่าๆ เเต่พอลงมีมไร้สาระโง่ๆมาจากไหนเกือบ3bullybully อะไรกันนิ,เวลาลงสตอรี่ดีๆตั้งใจลงมาก คนดู5กว่าๆ เเต่พอลงมีมไร้สาระโง่ๆมาจากไหนเกือบ3 อะไรกันนิ,เวลาลงสตอรี่ดีๆตั้งใจลงมากคนดูกว่าๆเเต่พอลงมีมไร้สาระโง่ๆมาจากไหนเกือบอะไรกันนิ,bully
เปิดแอร์ฉ่ำๆนอนโง่ๆ,เปิดแอร์ฉ่ำๆนอนโง่ๆ,เปิดแอร์ฉ่ำๆนอนโง่ๆ,none
เสียค่าโง่ไปพันนึง มึงบ้าป่ะ 😞😞💔💔💔,เสียค่าโง่ไปพันนึง มึงบ้าป่ะ 😞😞💔💔💔,เสียค่าโง่ไปพันนึงมึงบ้าป่ะ,bully
@3Plusnews อย่าคิดว่าปชช.โง่,@3 อย่าคิดว่าปชช.โง่,อย่าคิดว่าปชชโง่,bully
ความโง่วันนี้ ได้ดอกไม้มาแต่คิดว่ามันต้องแลกอีกที สรุปที่กดไปคือขายดอกไม้ทิ้งค่ะ จ้าาาา นิโนะ เราขอโทษ https://t.co/Mva2LJyN9W,ความโง่วันนี้ ได้ดอกไม้มาแต่คิดว่ามันต้องแลกอีกที สรุปที่กดไปคือขายดอกไม้ทิ้งค่ะ จ้าาาา นิโนะ เราขอโทษ ://./29,ความโง่วันนี้ได้ดอกไม้มาแต่คิดว่ามันต้องแลกอีกทีสรุปที่กดไปคือขายดอกไม้ทิ้งค่ะจ้าาาานิโนะเราขอโทษ,bully
อยากรีบทำธีสิสให้เสร็จ แต่ตัวนอนโง่ๆอยู่โซฟา 😢,อยากรีบทำธีสิสให้เสร็จ แต่ตัวนอนโง่ๆอยู่โซฟา 😢,อยากรีบทำธีสิสให้เสร็จแต่ตัวนอนโง่ๆอยู่โซฟา,none
โอ้ย 85bullybully หายไปกับตาเพราะความโง่,โอ้ย 85 หายไปกับตาเพราะความโง่,โอ้ยหายไปกับตาเพราะความโง่,bully
ดีดมาก 2ชม.งานเส็ดแร้ว ตอนนี้นอนโง่ไม่มีแรงเลย ไหนความบาล้านนนนนน,ดีดมาก 2ชม.งานเส็ดแร้ว ตอนนี้นอนโง่ไม่มีแรงเลย ไหนความบาล้านนนนนน,ดีดมากชมงานเส็ดแร้วตอนนี้นอนโง่ไม่มีแรงเลยไหนความบาล้านนนนนน,none
กูนั่งโง่ๆอยู่ตรงนี้มาจะสามชมละ แบบมีเรื่องเข้ามาไม่หยุด เอาไงดีชีวิต,กูนั่งโง่ๆอยู่ตรงนี้มาจะสามชมละ แบบมีเรื่องเข้ามาไม่หยุด เอาไงดีชีวิต,กูนั่งโง่ๆอยู่ตรงนี้มาจะสามชมละแบบมีเรื่องเข้ามาไม่หยุดเอาไงดีชีวิต,none
ปิดไฟ พอแล้ว ควรไปนอน,ปิดไฟ พอแล้ว ควรไปนอน,ปิดไฟพอแล้วควรไปนอน,none
@CXJWMM7none6 ตอนนี้แอบลุ้นเมมเบอร์ว่าน้องจะมาเต้นกันมั้ย เผื่อลงพร้อมกันแล้วติ๊กติกเห็นใจ พึ่งตัดสินใจทักหาน้องเมื่อคืนเพราะแอดมินเพจไม่น่าจะแจ้งน้องๆในกลุ่มรวม 🤣 (เราแอบฝาก walking street ที่สยามให้นางด้วย ถ้าไม่โง่ก็คงลงชื่อไปหาโชว์ให้คนมาเห็นเยอะๆ) ได้แต่แอบลุ้นทั้งที่%เป็นไปได้น้อยมาก 55,@76 ตอนนี้แอบลุ้นเมมเบอร์ว่าน้องจะมาเต้นกันมั้ย เผื่อลงพร้อมกันแล้วติ๊กติกเห็นใจ พึ่งตัดสินใจทักหาน้องเมื่อคืนเพราะแอดมินเพจไม่น่าจะแจ้งน้องๆในกลุ่มรวม 🤣 (เราแอบฝาก   ที่สยามให้นางด้วย ถ้าไม่โง่ก็คงลงชื่อไปหาโชว์ให้คนมาเห็นเยอะๆ) ได้แต่แอบลุ้นทั้งที่%เป็นไปได้น้อยมาก 55,ตอนนี้แอบลุ้นเมมเบอร์ว่าน้องจะมาเต้นกันมั้ยเผื่อลงพร้อมกันแล้วติ๊กติกเห็นใจพึ่งตัดสินใจทักหาน้องเมื่อคืนเพราะแอดมินเพจไม่น่าจะแจ้งน้องๆในกลุ่มรวมเราแอบฝากที่สยามให้นางด้วยถ้าไม่โง่ก็คงลงชื่อไปหาโชว์ให้คนมาเห็นเยอะๆได้แต่แอบลุ้นทั้งที่เป็นไปได้น้อยมาก,bully
กูนั่งโง่จริงด้วย ฮาาาาา,กูนั่งโง่จริงด้วย ฮาาาาา,กูนั่งโง่จริงด้วยฮาาาาา,none
เจ้าแมวโง่ แกทำชั้นไม่ได้นอน ಥ_ಥ หาทางแงะนางออกจากหน้าต่างอยู่นานจนตาตื่น นอนไม่หลับอีกชีวิต กว่าจะได้นอน เหมือนออกกำลังกายตอนตีสี่ โอ๊ยยย อยากนอนน นอนต่อไม่หลับมะคืนกว่าจะได้นอนอีก,เจ้าแมวโง่ แกทำชั้นไม่ได้นอน ಥ_ಥ หาทางแงะนางออกจากหน้าต่างอยู่นานจนตาตื่น นอนไม่หลับอีกชีวิต กว่าจะได้นอน เหมือนออกกำลังกายตอนตีสี่ โอ๊ยยย อยากนอนน นอนต่อไม่หลับมะคืนกว่าจะได้นอนอีก,เจ้าแมวโง่แกทำชั้นไม่ได้นอนหาทางแงะนางออกจากหน้าต่างอยู่นานจนตาตื่นนอนไม่หลับอีกชีวิตกว่าจะได้นอนเหมือนออกกำลังกายตอนตีสี่โอ๊ยยยอยากนอนนนอนต่อไม่หลับมะคืนกว่าจะได้นอนอีก,bully
การพักผ่อนที่ดีที่สุด คือการได้นั่งโง่ๆ อยู่เฉยๆกับตัวเองแบบไม่ต้องทำอะไร ไม่ต้องคิดอะไร,การพักผ่อนที่ดีที่สุด คือการได้นั่งโง่ๆ อยู่เฉยๆกับตัวเองแบบไม่ต้องทำอะไร ไม่ต้องคิดอะไร,การพักผ่อนที่ดีที่สุดคือการได้นั่งโง่ๆอยู่เฉยๆกับตัวเองแบบไม่ต้องทำอะไรไม่ต้องคิดอะไร,none
บางทีเราอาจไม่ได้แกล้งโง่แต่เป็นโง่จริงๆน่ะ,บางทีเราอาจไม่ได้แกล้งโง่แต่เป็นโง่จริงๆน่ะ,บางทีเราอาจไม่ได้แกล้งโง่แต่เป็นโง่จริงๆน่ะ,bully
คนอื่นเก่งหรือกูโง่,คนอื่นเก่งหรือกูโง่,คนอื่นเก่งหรือกูโง่,bully
ตั้งแต่ตื่นนอน สั่งข้าวกิน กินข้าว นั่งโง่ สั่งน้ำมากิน เขาก็ยังต่ออยู่,ตั้งแต่ตื่นนอน สั่งข้าวกิน กินข้าว นั่งโง่ สั่งน้ำมากิน เขาก็ยังต่ออยู่,ตั้งแต่ตื่นนอนสั่งข้าวกินกินข้าวนั่งโง่สั่งน้ำมากินเขาก็ยังต่ออยู่,none
คลั่งรักยัยติงยัยเซวียนเหมือนควายแก่โง่ๆตัวนึงที่เทอจูงจมูกให้ไปกินหญ้าก็จะไป ไปแทะไม้แข่งกับปลวกก็พร้อมจะไป😔,คลั่งรักยัยติงยัยเซวียนเหมือนควายแก่โง่ๆตัวนึงที่เทอจูงจมูกให้ไปกินหญ้าก็จะไป ไปแทะไม้แข่งกับปลวกก็พร้อมจะไป😔,คลั่งรักยัยติงยัยเซวียนเหมือนควายแก่โง่ๆตัวนึงที่เทอจูงจมูกให้ไปกินหญ้าก็จะไปไปแทะไม้แข่งกับปลวกก็พร้อมจะไป,bully
เอากล้องมาซ่อม สรุปน้องไม่ได้เสียแต่ชั้นโง่เอง,เอากล้องมาซ่อม สรุปน้องไม่ได้เสียแต่ชั้นโง่เอง,เอากล้องมาซ่อมสรุปน้องไม่ได้เสียแต่ชั้นโง่เอง,bully
คนโง่มักเป็นเหยื่อของคนฉลาด อันนี้จริงมาก ไม่เกินจริงเลย ผมขอโทษค้าบพี่ พี่เทใจไปแล้วอ่ะค้าบบบบ,คนโง่มักเป็นเหยื่อของคนฉลาด อันนี้จริงมาก ไม่เกินจริงเลย ผมขอโทษค้าบพี่ พี่เทใจไปแล้วอ่ะค้าบบบบ,คนโง่มักเป็นเหยื่อของคนฉลาดอันนี้จริงมากไม่เกินจริงเลยผมขอโทษค้าบพี่พี่เทใจไปแล้วอ่ะค้าบบบบ,bully
สามารถนอนโง่ๆ เฉยๆ ได้มั้ยวะ,สามารถนอนโง่ๆ เฉยๆ ได้มั้ยวะ,สามารถนอนโง่ๆเฉยๆได้มั้ยวะ,none
มาโน่บอกว่ากูสัมฯอยู่พวกมึงอ่านกันบ้าง อย่าพิมอะไรโง่ๆเลย #บอลไทย https://t.co/dgdPMSk7mt,มาโน่บอกว่ากูสัมฯอยู่พวกมึงอ่านกันบ้าง อย่าพิมอะไรโง่ๆเลย #บอลไทย ://./7,มาโน่บอกว่ากูสัมฯอยู่พวกมึงอ่านกันบ้างอย่าพิมอะไรโง่ๆเลยบอลไทย,bully
ตลกร้ายดี แฟนคลับศิลปินกลายเป็นพวกแพนิคที่จะเห็นรูปถ่ายนิตยสารงานต่างๆของศิลปินเพราะเห็นชื่อตากล้องชื่อทีมงานสไตลิส กูเป็นตากล้องกูร้องเลย คนไม่ชอบงานกูเป็นแสนๆคน กูจะหยุดงานแล้วไปนอนโง่ๆเลย นอนจนกว่าจะคิดออกว่าต้องแก้ยังไง,ตลกร้ายดี แฟนคลับศิลปินกลายเป็นพวกแพนิคที่จะเห็นรูปถ่ายนิตยสารงานต่างๆของศิลปินเพราะเห็นชื่อตากล้องชื่อทีมงานสไตลิส กูเป็นตากล้องกูร้องเลย คนไม่ชอบงานกูเป็นแสนๆคน กูจะหยุดงานแล้วไปนอนโง่ๆเลย นอนจนกว่าจะคิดออกว่าต้องแก้ยังไง,ตลกร้ายดีแฟนคลับศิลปินกลายเป็นพวกแพนิคที่จะเห็นรูปถ่ายนิตยสารงานต่างๆของศิลปินเพราะเห็นชื่อตากล้องชื่อทีมงานสไตลิสกูเป็นตากล้องกูร้องเลยคนไม่ชอบงานกูเป็นแสนๆคนกูจะหยุดงานแล้วไปนอนโง่ๆเลยนอนจนกว่าจะคิดออกว่าต้องแก้ยังไง,none
ความโง่อีกละ,ความโง่อีกละ,ความโง่อีกละ,bully
คือกูไม่รู้ว่าใครเต๊าะใครจีบไง ฉันโง่คะ ผู้ชายเข้าหาผญไม่จำเป็นต้องไปในทางนั้นอย่างเดียวป่ะวะ พอกูคุยกับใครดีก็หาว่าให้ความหวังอีก คำถามคือเราเซฟใจตัวเองเราผิดอะไรเร้อ;-; ก้แกไม่เคลียร์ฉันจะไปรู้มั้ยเดส,คือกูไม่รู้ว่าใครเต๊าะใครจีบไง ฉันโง่คะ ผู้ชายเข้าหาผญไม่จำเป็นต้องไปในทางนั้นอย่างเดียวป่ะวะ พอกูคุยกับใครดีก็หาว่าให้ความหวังอีก คำถามคือเราเซฟใจตัวเองเราผิดอะไรเร้อ;-; ก้แกไม่เคลียร์ฉันจะไปรู้มั้ยเดส,คือกูไม่รู้ว่าใครเต๊าะใครจีบไงฉันโง่คะผู้ชายเข้าหาผญไม่จำเป็นต้องไปในทางนั้นอย่างเดียวป่ะวะพอกูคุยกับใครดีก็หาว่าให้ความหวังอีกคำถามคือเราเซฟใจตัวเองเราผิดอะไรเร้อก้แกไม่เคลียร์ฉันจะไปรู้มั้ยเดส,bully
@MekkittikulW ดีนะเขาทำได้แค่นี้ ดีกว่าบางคนทำไม่ได้เลย งงเลยว่าใครโง่,@ ดีนะเขาทำได้แค่นี้ ดีกว่าบางคนทำไม่ได้เลย งงเลยว่าใครโง่,ดีนะเขาทำได้แค่นี้ดีกว่าบางคนทำไม่ได้เลยงงเลยว่าใครโง่,bully
อาป๊าด่าหงส์ว่าผู้หญิงแบบลื้อเป็นได้แค่แม่โค อ่อนแอ โง่เขลา กูช้อค ท้อกสิกมาก,อาป๊าด่าหงส์ว่าผู้หญิงแบบลื้อเป็นได้แค่แม่โค อ่อนแอ โง่เขลา กูช้อค ท้อกสิกมาก,อาป๊าด่าหงส์ว่าผู้หญิงแบบลื้อเป็นได้แค่แม่โคอ่อนแอโง่เขลากูช้อคท้อกสิกมาก,bully
อ่อ กระแสพรีเมียมแบบตอนหมาโง่กับแมวขาวดีสินะ เลยจะทำแนวนั้นอีก ,อ่อ กระแสพรีเมียมแบบตอนหมาโง่กับแมวขาวดีสินะ เลยจะทำแนวนั้นอีก ,อ่อกระแสพรีเมียมแบบตอนหมาโง่กับแมวขาวดีสินะเลยจะทำแนวนั้นอีก,bully
